,id,createdtime,username,tweets
0,1.41E+18,21-06-2021 23:56,microcapcompany,cyio interview today with and discussing and
1,1.41E+18,21-06-2021 23:49,ayyzeee7,well we should be going to pluto now  not just the moon
2,1.41E+18,21-06-2021 23:43,ayyzeee7,those dips are what usually gets us to ath  only few understand
3,1.41E+18,21-06-2021 22:12,patelmaulik,nearly there now ers  next stop is at
4,1.41E+18,21-06-2021 19:54,Majid11002677,let  make fastest crypto nation with
5,1.41E+18,21-06-2021 19:12,ibad700,we will do that am abdul rehman how do an international crypto media is ignoring thi
6,1.41E+18,21-06-2021 18:17,Jeo43281023,mera yeh issue raha hain is leay may sub ko follow back kar pa rahi dory bhht hoty hain phir dismiss jata hain sorry is
7,1.41E+18,21-06-2021 18:15,AliRehmaa,mera yeh issue raha hain is leay may sub ko follow back kar pa rahi dory bhht hoty hain phir dismiss jata hain sorry is leay
8,1.41E+18,21-06-2021 17:48,Farooqmughal971,akhter fastest blower in the world
9,1.41E+18,21-06-2021 17:27,FakharAbbasSh18,let  follow each others
10,1.41E+18,21-06-2021 16:55,AliRehmaa,shoaib akhter fastest blower in the world
11,1.41E+18,21-06-2021 16:49,AbdulRe33088214,we will do that am abdul rehman how do an international crypto media is ignoring this such news
12,1.41E+18,21-06-2021 16:47,AliRehmaa,pakistan is will be going become largest growing industry of crypto in future inshaaallah  lets promote pakistan follow me
13,1.41E+18,21-06-2021 16:35,HaniyaKhan21,you guys watch the world  number one crypto exchange  io inshallah com
14,1.41E+18,21-06-2021 16:33,HaniyaKhan21,you guys watch the world  number one crypto exchange  io inshallah coming soon
15,1.41E+18,21-06-2021 16:33,ghulamhyder67,pakistani crypto coin will rock  yes we will lanch coin by the team of yoooo
16,1.41E+18,21-06-2021 16:07,ChAli_raza1,intresting partnership
17,1.41E+18,21-06-2021 16:03,qnSpectrum,why this is not big news that pakistani crypto exchange is lau
18,1.41E+18,21-06-2021 15:58,ArmanAb69072145,way are you hiding pakistani exchange
19,1.41E+18,21-06-2021 15:56,Usamakh68475721,why this is not big news that pakistani crypto exchange is launching first pakistani nft will be launched by follow me  ll follow back
20,1.41E+18,21-06-2021 15:54,MozimRog,excited to see entering crypto world and announcing great new platform with the collaboration of crypto master proud to be part of this amazing journey
21,1.41E+18,21-06-2021 15:49,Malykhassan4,ti let  move to the future world with   pakistani are catching up to cutting out edge tech   all
22,1.41E+18,21-06-2021 15:48,Malykhassan4,ti let  move to the future world with   pakistani are catching up to cutting out edge tech   all credit goes to the future is here   first ever cricket nft     support pakistan
23,1.41E+18,21-06-2021 15:48,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out
24,1.41E+18,21-06-2021 15:48,Malykhassan4,khan  let  move to the future world with   pakistani are catching up to cutting out edge tec
