,id,createdtime,username,tweets
0,1.41E+18,21-06-2021 23:05,GMjkaoru,thank you for making this opportunity  hopefully this project will be successful  lady  fish air  to neet  goog
1,1.41E+18,21-06-2021 16:57,MKayuhan,good luck  togheter to the moon crypto
2,1.41E+18,21-06-2021 15:21,VIEVenus01,good job    goog
3,1.41E+18,21-06-2021 14:09,dailytradingapp,curiosity ink media  cepia collaborate to transform cats vs  pickles into an original series
4,1.41E+18,21-06-2021 13:02,MMMD610013,faang parted ways  apple netflix has fallen behind apple and netflix are doing badly not only underperformed the market  but their earnings so far this year are also negative  falling    and     respectively
5,1.41E+18,21-06-2021 10:34,alpine1600sc,google  short it    tradingview
6,1.41E+18,20-06-2021 23:11,Momo72572036,go to moon  goog  paly  goog
7,1.41E+18,20-06-2021 20:23,eduWallStreet,watch investing performance stock indexes  sectors and faang etf investi    via      dji  dia  ym
8,1.41E+18,20-06-2021 10:40,Maryam14173242,ir  goog
9,1.41E+18,20-06-2021 07:32,Min97987312,good    mrbee  goog
10,1.41E+18,20-06-2021 03:10,IYCMatar,morning
11,1.41E+18,20-06-2021 00:00,FanaDoge,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy     fauzan  goog
12,1.41E+18,19-06-2021 19:37,kulinichwrld,let  participate this is good project
13,1.41E+18,19-06-2021 14:57,ALPINARoadsterS,tradingview    google   tradingview
14,1.41E+18,19-06-2021 12:45,pahwan07,nice project    goog
15,1.41E+18,19-06-2021 12:27,4OsqsmBOApZihjP,nice team    thanks for this opportunity
16,1.41E+18,19-06-2021 11:03,VanFreiheit,it is great project  am enthusiastic about participating in this and also supporting  success   goog
17,1.41E+18,19-06-2021 05:23,Gambiste1,onli  this project has bright future ahead  excellent usage  amp  apllication  wish huge success to this amazing project
18,1.41E+18,19-06-2021 04:29,gd_onli,this project has bright future ahead  excellent usage  amp  apllication  wish huge success to this amazing project   tam  goog
19,1.41E+18,19-06-2021 03:49,kenathdesilva1,thank you for making this opportunity  hopefully this project will be successful  tree yoga  goog
20,1.41E+18,18-06-2021 21:13,jeremypro110,do you love in promote your solo ads mlm to millions of real audience  just click the link
21,1.41E+18,18-06-2021 20:06,nafham4,let  practicepate excellent project     radwan
22,1.41E+18,18-06-2021 18:25,UTradinghunter,goog calllotto  goog
23,1.41E+18,18-06-2021 17:54,famedinag,won  be able to watch   best of luck guys    bdntail
24,1.41E+18,18-06-2021 16:34,TrendSpider,goog up over   from earnings back in april
25,1.41E+18,18-06-2021 16:00,TradingSurfers,elliott wave analysis  charts are released earlier in our discord group please like and share if you appreciate this analysis
26,1.41E+18,18-06-2021 14:16,RincemonKeenth1,dear friends  the concept of this project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy    goog
27,1.41E+18,18-06-2021 12:13,hfada,thank you for making this opportunity  hopefully this project will be successful   zh  nabaa  degea  goog
28,1.41E+18,18-06-2021 12:00,fr_tradingview,google   tradingview
29,1.41E+18,18-06-2021 11:16,Clear27239284,would like to get this airdrop opportunity  thank you
30,1.41E+18,18-06-2021 09:52,suhaylb7,leadership offers the opportunity to make difference in someone  life  will help this project to success   goog
31,1.41E+18,18-06-2021 08:05,DormanFredy,thanks for giving us such great opportunity  am supporting it  always success for the development   den
32,1.41E+18,18-06-2021 05:06,609415477c570,am interested  and will support this project  razaq  khorasani  goog
33,1.41E+18,18-06-2021 03:23,HoangHy1802,good project and strong team  in predictable and transparent road map  planned and projected  think in the near future will see an unprecedented growth of this project   goog
34,1.41E+18,18-06-2021 01:37,SVAmerican1,should move  translate in chinese  olympics should be held and propaganda in action
35,1.41E+18,18-06-2021 00:53,TngcTr4,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy    kensg  goog
36,1.41E+18,18-06-2021 00:32,MichaelBW80,this project looks amazing  am interested  and will support this project until it is successful dyac
37,1.41E+18,18-06-2021 00:30,MAlfy37905340,this project looks amazing  am interested  and will support this project until it is successful dyachkow  goog
38,1.41E+18,17-06-2021 23:32,jodeci88888888,google
39,1.41E+18,17-06-2021 21:55,Finscreener_com,technical analysis of  goog
40,1.41E+18,17-06-2021 21:51,AstashonokIgor,this project is going to be better position in the future  thanks for shared this wonderful opportunity   moosa  goog
41,1.41E+18,17-06-2021 18:29,ziqhoulets1,this is great project  because it will be very profitable  and this project might compete with others  ma
42,1.41E+18,17-06-2021 18:29,ziqhoulets1,am proud to be part of this  hopefully it will be better in the future  thanks for shared this wonderful oppo
43,1.41E+18,17-06-2021 18:29,ziqhoulets1,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels
44,1.41E+18,17-06-2021 18:28,ziqhoulets1,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the level
45,1.41E+18,17-06-2021 13:40,Francis24208562,very nice project  mad block  goog
46,1.41E+18,17-06-2021 08:58,sugikdatok,goodjob  reall  goog
47,1.41E+18,17-06-2021 08:56,TheFBAInvestor,and are great for short term short squeeze win but you cannot beat value investing  got into both
48,1.41E+18,17-06-2021 08:49,Oatmiee,thank you very much for the official airdrop event  think its gonna huge and great  so lets go
49,1.41E+18,17-06-2021 08:18,studios,should this be an alternative  commerce shopping search engine
50,1.41E+18,17-06-2021 06:55,azeemsa70506461,the concept of this is project is excellent   goog is on many exchanges  labaniya  goog
51,1.41E+18,17-06-2021 02:59,eeduardoP_VZLA,the concept of this is project is excellent   gz  marzana  goog
52,1.41E+18,17-06-2021 01:54,BlondesStocks,shopify deepens  commerce collaboration with google and facebook
53,1.41E+18,16-06-2021 18:41,ravennn1989,thank you for making this opportunity  hopefully this project will be successful   finance  sharkcoin  goog
54,1.41E+18,16-06-2021 18:17,eli008230,good project        goog
55,1.41E+18,16-06-2021 17:39,Jiayuru3,very good project  hope this project will big succes  think he has great future   goog
56,1.41E+18,16-06-2021 17:28,MobinShekhah,very very good project      shafiei
57,1.41E+18,16-06-2021 16:49,UTradinghunter,goog call goog
58,1.41E+18,16-06-2021 16:33,ajiumar1609,this project looks very interesting  am interested   and will support this project until it is successful according to the plan that has been set   goog
59,1.41E+18,16-06-2021 16:24,BUDISAR59482291,hi  thank you for doing this great project  goog
60,1.41E+18,16-06-2021 15:53,CorneliusYuan,good project
61,1.41E+18,16-06-2021 15:06,nolimitrc_,done trading for the day  finished with gain of    now   chilling with my wife and son the rest of the day
62,1.41E+18,16-06-2021 14:11,youlijuwairen,this is very good project  am very optimistic  come on   goog
63,1.41E+18,16-06-2021 13:25,HEKAN1515,this is one revolutionary project have seen so far    can already see big and gigantic potentials in it  goog
64,1.41E+18,16-06-2021 13:13,wu38222904,very optimistic about your activities  hope you can succeed  let  go to the moon together  org  goog
65,1.41E+18,16-06-2021 13:10,qA6F05MXqs1Yv2Q,this is great project  because it will be very profitable  and this project might compete with others  maybe it could be superior to the others could be very useful  good luck app  goog
66,1.41E+18,16-06-2021 11:39,CyberSecurityN8,visit  to learn how to secure security conscious culture in your business
67,1.41E+18,16-06-2021 11:37,dwwnigeria,visit  to learn how to secure security conscious culture in your business  visit  to learn how to secure security conscious culture in your business
68,1.41E+18,16-06-2021 11:28,dailytradingapp,china   uber for trucks  startup proposes to raise about    in us ipo  wsj
69,1.41E+18,16-06-2021 11:05,N27iiCh3n,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy     goog
70,1.41E+18,16-06-2021 11:02,lwlw16553602,very good innovative project with great potential  you guys are great   goog
